R(Å)	E_RHF	E_UHF	 UHF_Overlap	UHF_S2	E_CAS(2/2)	E_MRCI	E_B3LYP
0.4	-0.94259712	-0.94259694	1	0	-0.95362158	-0.98185344	-0.98121077
0.5	-1.06491802	-1.06491769	1	0	-1.0777743	-1.10420088	-1.10341917
0.6	-1.11637963	-1.11637919	1	0	-1.13136378	-1.15603975	-1.15533417
0.7	-1.13278122	-1.13277978	1	0	-1.15021269	-1.17318567	-1.17262549
0.74	-1.13361876	-1.13361876	1	0	-1.15212469	-1.17443412	-1.17391539
0.8	-1.13088967	-1.13088865	1	0	-1.15111737	-1.17243261	-1.17194834
0.9	-1.11927531	-1.11927106	0.99999	0	-1.14268818	-1.16238359	-1.16179692
1	-1.10258915	-1.10258708	0.99999	0	-1.12961954	-1.14770165	-1.14679204
1.1	-1.08345952	-1.08345948	1	0	-1.11458436	-1.131057	-1.12955387
1.2	-1.06341086	-1.06340713	0.99944	0.0011	-1.09914912	-1.11402466	-1.11159573
1.3	-1.04333822	-1.04537431	0.88023	0.2252	-1.0842435	-1.09753358	-1.09378455
1.4	-1.02376574	-1.03239657	0.75653	0.4277	-1.07041329	-1.08214993	-1.07661368
1.5	-1.00499349	-1.02312108	0.6511	0.5761	-1.05796128	-1.06819786	-1.06035512
1.6	-0.98718377	-1.01649871	0.56102	0.6853	-1.0470282	-1.05582839	-1.04514805
1.7	-0.97041285	-1.01177205	0.48386	0.7659	-1.03764134	-1.04510337	-1.0310514
1.8	-0.95470305	-1.00840151	0.41763	0.8256	-1.02974674	-1.03597389	-1.01808143
1.9	-0.94004296	-1.00599571	0.36068	0.8699	-1.02323358	-1.02836077	-1.00622813
2	-0.92640045	-1.00427835	0.31162	0.9029	-1.01795471	-1.02213339	-0.99545038
2.1	-0.91373108	-1.00305182	0.26931	0.9275	-1.01374477	-1.01710839	-0.98567154
2.2	-0.90198355	-1.00217608	0.23278	0.9458	-1.01043528	-1.01312652	-0.9768127
2.3	-0.89110322	-1.00155065	0.20121	0.9595	-1.00786613	-1.0100134	-0.96880823
2.4	-0.8810345	-1.00110367	0.17392	0.9698	-1.00589309	-1.00758788	-0.96156668
2.5	-0.87172236	-1.00078473	0.15031	0.9774	-1.0043916	-1.00573258	-0.95504972
2.6	-0.86311335	-1.00055696	0.12987	0.9831	-1.00325769	-1.00430674	-0.94918287
2.7	-0.85515619	-1.00039433	0.11219	0.9874	-1.00240683	-1.00323327	-0.94392362
2.8	-0.84780216	-1.00027835	0.09688	0.9906	-1.00177177	-1.00241802	-0.9392078
2.9	-0.84100531	-1.00019548	0.08363	0.993	-1.00129989	-1.00181318	-0.93497676
3	-0.83472249	-1.00013633	0.07216	0.9948	-1.00095059	-1.00135581	-0.93120503
3.1	-0.82891339	-1.00009413	0.06224	0.9961	-1.00069287	-1.00101229	-0.92779492
3.2	-0.82354044	-1.00006403	0.05366	0.9971	-1.00050324	-1.00075667	-0.92479211
3.3	-0.81856878	-1.00004257	0.04624	0.9979	-1.00036407	-1.00056737	-0.92203933
3.4	-0.81396608	-1.00002729	0.03983	0.9984	-1.00026197	-1.00042415	-0.91964911
3.5	-0.80970246	-1.00001641	0.03429	0.9988	-1.00018767	-1.00031625	-0.91747395
3.6	-0.80575024	-1.00000866	0.0295	0.9991	-1.00013327	-1.00023777	-0.91552635
3.7	-0.80208416	-1.00000315	0.02537	0.9994	-1.00009377	-1.00017767	-0.91377943
